id;the_geom;osm_id;name;ref;type;oneway;bridge;maxspeed
roads.5927;MULTILINESTRING ((1.4527079 43.6174821, 1.45265 43.6174777, 1.4526297 43.6174359, 1.4526454 43.6173815, 1.4526624 43.6173418, 1.4526813 43.6173077, 1.4527133 43.6172791, 1.4538981 43.6167891, 1.4539789 43.6167743));96680894;Chemin de Lapujade;;cycleway;0;0;0
roads.5928;MULTILINESTRING ((1.4288989 43.5848285, 1.4291656 43.584784, 1.4310465 43.5844566, 1.4312096 43.5844339, 1.4314197 43.584408, 1.4314755 43.584387, 1.4315223 43.584345, 1.4315641 43.5843416, 1.4316681 43.5843329, 1.4317108 43.5843377, 1.4317626 43.5843616, 1.4318459 43.5843749, 1.436893 43.5841445, 1.4369616 43.584129, 1.4370215 43.584125, 1.4372064 43.5841169, 1.4372776 43.5841187, 1.4373294 43.584125, 1.4373822 43.584125, 1.4392133 43.5840381));97466570;;;path;0;1;0
roads.5929;MULTILINESTRING ((1.4289773 43.5849578, 1.4286629 43.5851137));97466580;;;path;0;0;0
roads.5930;MULTILINESTRING ((1.434335 43.6040396, 1.4344591 43.6043335, 1.4345248 43.6043704, 1.4345451 43.6044972, 1.4345506 43.6046483, 1.4345371 43.6047399, 1.4344797 43.6048748, 1.4343867 43.6050165, 1.4341984 43.6051594, 1.4340392 43.6052387, 1.4338447 43.6053355, 1.4304828 43.6065032, 1.4303875 43.6065007, 1.4302407 43.6065536, 1.4302191 43.6065952, 1.4301415 43.606646, 1.4285949 43.6072041, 1.428401 43.6072105, 1.4283899 43.6072144, 1.4280838 43.6073224, 1.4280012 43.6073918, 1.4279102 43.607449, 1.4275216 43.6075883, 1.4269734 43.6077831, 1.4241746 43.6087883));97539202;;;footway;0;0;0
roads.5931;MULTILINESTRING ((1.4177644 43.6117261, 1.41779 43.6119851));97539206;;;primary;1;1;50
roads.5932;MULTILINESTRING ((1.4341478 43.6040908, 1.4341261 43.6040508));97539212;;;steps;0;0;0
roads.5933;MULTILINESTRING ((1.4343186 43.6040031, 1.434335 43.6040396));97539218;;;steps;0;0;0
roads.5934;MULTILINESTRING ((1.4375055 43.5981313, 1.4375413 43.5981581, 1.4375722 43.5981707, 1.4376198 43.598177, 1.4376741 43.5981775, 1.4377183 43.5981702, 1.4377666 43.5981522, 1.4378008 43.5981265, 1.4378317 43.5980925, 1.4378614 43.5980431, 1.437884 43.5979837, 1.4379403 43.5978837, 1.437939 43.5978502, 1.4379135 43.5978133, 1.437896 43.5977827, 1.4378793 43.5977419, 1.4378706 43.5977055, 1.4378672 43.5976525, 1.4378652 43.5976035, 1.4378585 43.5975763, 1.4378431 43.5975496, 1.4378169 43.5975239, 1.4377894 43.5975044, 1.4377351 43.5974777, 1.4376821 43.5974559, 1.4376379 43.597434, 1.4376037 43.5974102, 1.4375494 43.5973636, 1.437483 43.597298));97691234;;;footway;0;0;0
roads.5935;MULTILINESTRING ((1.4353356 43.5931196, 1.4353455 43.5931389, 1.4353636 43.5931546, 1.435388 43.5931651, 1.4354158 43.5931691, 1.4354439 43.5931662, 1.435469 43.5931566, 1.4354868 43.593143, 1.435498 43.5931261, 1.4355016 43.5931075, 1.4354972 43.5930891, 1.4354852 43.5930725, 1.4354668 43.5930593, 1.4354437 43.5930509));97691235;;;footway;0;0;0
roads.5936;MULTILINESTRING ((1.437653 43.5983245, 1.4375968 43.5982737, 1.437536 43.5982144, 1.4375055 43.5981313, 1.4371988 43.5974254, 1.4367939 43.5964767, 1.4368346 43.596445));97691236;;;footway;0;0;0
roads.5937;MULTILINESTRING ((1.4354437 43.5930509, 1.4354572 43.5929706, 1.4354432 43.5928417, 1.4354408 43.5927892));97691238;;;footway;0;0;0
roads.5938;MULTILINESTRING ((1.4303014 43.652646, 1.4302033 43.6526072));98531684;;;path;0;0;0
roads.5939;MULTILINESTRING ((1.4293444 43.6522478, 1.4299883 43.6524686, 1.4302649 43.6525079));98531691;;;path;0;1;0
roads.5940;MULTILINESTRING ((1.429112 43.6515284, 1.4291904 43.6515431, 1.4292458 43.6516686, 1.4292486 43.6521637, 1.4292754 43.6522093, 1.4293444 43.6522478));98531697;;;path;0;0;0
roads.5941;MULTILINESTRING ((1.4302649 43.6525079, 1.4303362 43.6525072));98531710;;;path;0;0;0
roads.5942;MULTILINESTRING ((1.4302033 43.6526072, 1.4299883 43.6524686));98531714;;;path;0;1;0
roads.5943;MULTILINESTRING ((1.4845419 43.55618, 1.4846361 43.5562138));98651577;Avenue Pierre-Georges Latécoère;;primary;1;1;70
roads.5944;MULTILINESTRING ((1.4281566 43.6069073, 1.4281468 43.6067892, 1.4281412 43.6066938));99270748;Avenue Paul Séjourné;;primary;1;0;50
roads.5945;MULTILINESTRING ((1.428199 43.6059335, 1.4280987 43.6059486));99270751;Rue des Amidonniers;;residential;0;0;50
roads.5946;MULTILINESTRING ((1.427877 43.6070097, 1.4280256 43.6069563, 1.4280641 43.6069425, 1.4281566 43.6069073));99270752;Allée de Brienne;;residential;1;0;50
roads.5947;MULTILINESTRING ((1.4279363 43.6053663, 1.4279604 43.6053659, 1.427993 43.605365, 1.4280359 43.6053636, 1.4280613 43.6053415));99270753;Avenue de l'Ancien Vélodrome;;residential;1;0;30
roads.5948;MULTILINESTRING ((1.4479381 43.5944365, 1.4478068 43.5943712, 1.4478125 43.5943653, 1.4479444 43.5944159, 1.4479512 43.5944078));99270754;;;footway;0;0;0
roads.5949;MULTILINESTRING ((1.4281566 43.6069073, 1.4282654 43.6068702));99270756;Allée de Brienne;;residential;0;0;50
roads.5950;MULTILINESTRING ((1.4347586 43.6103045, 1.4355842 43.6105601, 1.4357346 43.6106074, 1.435885 43.6106547));99270757;Boulevard Lascrosses;;primary;1;0;50
roads.5951;MULTILINESTRING ((1.4559352 43.5970262, 1.455985 43.5971126, 1.4560123 43.5972276));99270758;Port Saint-Sauveur;;primary;1;0;50
roads.5952;MULTILINESTRING ((1.4282478 43.6082566, 1.4282439 43.6080109, 1.4282123 43.6076069, 1.4282022 43.6074702, 1.4281939 43.6074046));99270759;Avenue Paul Séjourné;;primary;1;0;50
roads.5953;MULTILINESTRING ((1.4282751 43.6070054, 1.4282957 43.6072926, 1.4283007 43.6073677));99270760;Avenue Paul Séjourné;;primary;1;1;50
roads.5954;MULTILINESTRING ((1.4347586 43.6103045, 1.4348275 43.6102091, 1.434914 43.6100665, 1.4349079 43.6099145));99270761;Boulevard Armand Duportal;;tertiary;1;0;30
roads.5955;MULTILINESTRING ((1.4284688 43.6052839, 1.4284894 43.6052005, 1.4285126 43.6050624, 1.4285169 43.6049913, 1.4285189 43.6049252, 1.4285166 43.6048977, 1.4284976 43.6048184, 1.4284662 43.6047252, 1.4284361 43.604683, 1.4283926 43.6046485, 1.4283093 43.6046182));99270762;Avenue de l'Ancien Vélodrome;;residential;0;0;30
roads.5956;MULTILINESTRING ((1.4281695 43.6055285, 1.428199 43.6059335, 1.4282361 43.6064575, 1.4282469 43.6066098, 1.4282593 43.6067848, 1.4282654 43.6068702));99270763;Avenue Paul Séjourné;;primary;1;0;50
roads.5957;MULTILINESTRING ((1.4284688 43.6052839, 1.4284448 43.6053455, 1.4284408 43.6053557, 1.4283666 43.6054158, 1.4282989 43.6054407, 1.4282553 43.6054566, 1.428166 43.6054799));99270764;Avenue de l'Ancien Vélodrome;;residential;1;0;30
roads.5958;MULTILINESTRING ((1.4280825 43.6043366, 1.4280909 43.6044291));99270765;Avenue Paul Séjourné;;primary;1;0;50
roads.5959;MULTILINESTRING ((1.4558909 43.5969458, 1.4558521 43.5969689, 1.4557964 43.5970021, 1.4557473 43.5970181, 1.4556984 43.5970212, 1.4556282 43.5970116, 1.4543686 43.5965452));99270767;Allée Paul Sabatier;;residential;1;0;0
roads.5960;MULTILINESTRING ((1.4280883 43.6067192, 1.4283467 43.6067098));99270768;;;footway;0;0;0
roads.5961;MULTILINESTRING ((1.4278541 43.6053509, 1.4279363 43.6053663));99270769;Avenue de l'Ancien Vélodrome;;residential;1;0;30
roads.5962;MULTILINESTRING ((1.4280987 43.6059486, 1.4280454 43.6059566, 1.4280047 43.6059628));99270771;Rue des Amidonniers;;residential;0;0;30
roads.5963;MULTILINESTRING ((1.4281752 43.6043639, 1.4282475 43.6053737));99270772;;;path;1;0;0
roads.5964;MULTILINESTRING ((1.451583 43.5951853, 1.4516405 43.5951505, 1.4518232 43.59504, 1.4518953 43.5950051, 1.4520804 43.5949157));99270773;Square Boulingrin;;primary;1;0;50
roads.5965;MULTILINESTRING ((1.4349079 43.6099145, 1.4348807 43.6095207));99270774;Boulevard Armand Duportal;;tertiary;1;0;30
roads.5966;MULTILINESTRING ((1.4538606 43.5963572, 1.4537493 43.5963221, 1.4537051 43.596323, 1.4536438 43.5963275, 1.4535255 43.5963556));99270775;Allée Paul Sabatier;;service;1;0;0
roads.5967;MULTILINESTRING ((1.428199 43.6059335, 1.4282523 43.6059255, 1.4283236 43.6059147, 1.4305763 43.6056016));99270777;Rue des Amidonniers;;residential;1;0;30
roads.5968;MULTILINESTRING ((1.4280689 43.60547, 1.4279962 43.6054459, 1.4279576 43.6054308, 1.4279144 43.6054151, 1.4278541 43.6053509));99270778;Avenue de l'Ancien Vélodrome;;residential;1;0;30
roads.5969;MULTILINESTRING ((1.428397 43.6085096, 1.4284458 43.6084164, 1.4284855 43.6083662, 1.4285211 43.6083599, 1.4285469 43.6083196, 1.4285736 43.6082507));99270779;;;footway;0;0;0
roads.5970;MULTILINESTRING ((1.4152498 43.6107972, 1.4150448 43.6106674));99272678;;A 620;motorway;1;0;90
roads.5971;MULTILINESTRING ((1.4199177 43.6114827, 1.4197569 43.6114715, 1.4188289 43.6113448, 1.4187292 43.6113326));99272680;Boulevard de l'Embouchure;;primary;1;0;50
roads.5972;MULTILINESTRING ((1.4348807 43.6095207, 1.4348731 43.6094037, 1.4348476 43.6090307, 1.4348248 43.6085853, 1.4348187 43.6085144, 1.4348119 43.6084299, 1.4347667 43.6078653, 1.4346687 43.6061018, 1.4346568 43.6058877, 1.4346211 43.6057389));99272681;Boulevard Armand Duportal;;tertiary;1;0;30
roads.5973;MULTILINESTRING ((1.4166074 43.6126113, 1.4163753 43.612443, 1.4160388 43.6121586));99272684;;;primary;1;0;0
roads.5974;MULTILINESTRING ((1.4325108 43.6095941, 1.4335743 43.6099274, 1.43426 43.610151, 1.434357 43.6101793, 1.4344895 43.6102193, 1.4346241 43.6102599));99274478;Boulevard Lascrosses;;primary;1;0;50
roads.5975;MULTILINESTRING ((1.4323898 43.6096706, 1.4321972 43.6096145));99274480;Boulevard Lascrosses;;primary;1;0;50
roads.5976;MULTILINESTRING ((1.4325108 43.6095941, 1.4323898 43.6096706));99274481;Boulevard du Maréchal Leclerc;;secondary;1;0;50
roads.5977;MULTILINESTRING ((1.4119319 43.6089373, 1.4133024 43.6095652));99274482;;A 620;motorway;1;1;90
roads.5978;MULTILINESTRING ((1.406499 43.6065391, 1.4075309 43.6069738));99274485;;A 620;motorway;1;0;90
roads.5979;MULTILINESTRING ((1.4161329 43.6101132, 1.4182341 43.6104733));99274487;Port de l'Embouchure;;primary;1;0;50
roads.5980;MULTILINESTRING ((1.4376145 43.5989314, 1.4376312 43.5990155, 1.4376323 43.5990775));99340610;;;service;1;0;0
roads.5981;MULTILINESTRING ((1.4523777 43.594827, 1.4525975 43.5948115, 1.4527978 43.5948052, 1.4530861 43.5948204));99340611;Square Boulingrin;;primary;1;0;50
roads.5982;MULTILINESTRING ((1.4530861 43.5948204, 1.4532853 43.5948694, 1.4534852 43.5949416, 1.4536053 43.5950103, 1.4537015 43.5950803));99340612;Square Boulingrin;;primary;1;0;50
roads.5983;MULTILINESTRING ((1.4376991 43.59909, 1.4376323 43.5990775));99340613;Pont Neuf;D 124;tertiary;1;0;30
roads.5984;MULTILINESTRING ((1.4489488 43.5946094, 1.4490878 43.5944823));99340615;Rue Théodore Ozenne;;service;0;0;50
roads.5985;MULTILINESTRING ((1.4373634 43.5987989, 1.4373267 43.5987093));99340618;;;service;0;0;0
roads.5986;MULTILINESTRING ((1.4161872 43.5702564, 1.416313 43.5703665, 1.4166064 43.57063, 1.41676 43.5707423, 1.4167912 43.5707664, 1.4169897 43.5709154, 1.417191 43.5710661, 1.4172689 43.5711271, 1.4174548 43.5712728));99348765;Route de Seysses;;secondary;0;0;50
roads.5987;MULTILINESTRING ((1.4143761 43.5861543, 1.4153945 43.5866209, 1.4159277 43.5868318, 1.4162754 43.5869773, 1.4164549 43.5870516));99348767;Rue Vestrepain;;residential;0;0;30
roads.5988;MULTILINESTRING ((1.4184094 43.5724304, 1.4184991 43.5725499, 1.4186479 43.5727371, 1.4189163 43.5730798, 1.4190818 43.573288, 1.4192688 43.5735265, 1.4193069 43.5735836));99348768;Route de Seysses;;secondary;0;0;50
roads.5989;MULTILINESTRING ((1.4318124 43.5979348, 1.4319684 43.5979629, 1.4320363 43.5979994, 1.4320327 43.5980396, 1.4320149 43.5980829));99348770;Place Intérieure Saint-Cyprien;;tertiary;1;0;30
roads.5990;MULTILINESTRING ((1.4243535 43.5697945, 1.4243931 43.5692697));99348771;Route d'Espagne;D 120;primary;1;0;50
roads.5991;MULTILINESTRING ((1.4239655 43.5697263, 1.4240024 43.5698081));99348773;Rue Louis Courtois de Viçose;;unclassified;1;0;0
roads.5992;MULTILINESTRING ((1.4313221 43.5970365, 1.4314673 43.5968612, 1.4315569 43.5967411, 1.4318813 43.5962912, 1.4319225 43.5962304));99348778;Allées Charles de Fitte;;primary;1;0;50
roads.5993;MULTILINESTRING ((1.4642366 43.6054342, 1.4631686 43.6046359));99504071;Rue Subleyras;;residential;0;0;0
roads.5994;MULTILINESTRING ((1.4601919 43.5875677, 1.4603097 43.5875913));99654612;Avenue Crampel;;secondary;1;0;50
roads.5995;MULTILINESTRING ((1.4528997 43.5966372, 1.4527149 43.5966764, 1.4525312 43.5966918, 1.4524303 43.596694, 1.4521814 43.5966842, 1.4519821 43.59666));99654613;Square Boulingrin;;primary;1;0;50
roads.5996;MULTILINESTRING ((1.4485413 43.6058168, 1.4487506 43.60562));99799952;Boulevard Lazare Carnot;;primary;1;0;50
roads.5997;MULTILINESTRING ((1.4555457 43.6111032, 1.455454 43.6110429));99799953;Boulevard de Marengo;;primary;1;0;50
roads.5998;MULTILINESTRING ((1.4485413 43.6058168, 1.4484962 43.6057737, 1.4484472 43.6057314, 1.4477575 43.6052787, 1.4476372 43.6052009));99799954;Allées du Président Franklin Roosevelt;;residential;1;0;30
roads.5999;MULTILINESTRING ((1.4320149 43.5980829, 1.4319787 43.5981106));99799955;Place Intérieure Saint-Cyprien;;tertiary;1;0;30
roads.6000;MULTILINESTRING ((1.454938 43.6103696, 1.454966 43.6102322));99799956;Boulevard de Marengo;;primary;1;0;50
roads.6001;MULTILINESTRING ((1.4552791 43.6105936, 1.4550271 43.6104281, 1.454938 43.6103696));99799957;;;service;1;0;50
roads.6002;MULTILINESTRING ((1.4488434 43.6056759, 1.4486177 43.6058654));99799959;Boulevard Lazare Carnot;;primary;1;0;50
roads.6003;MULTILINESTRING ((1.4274111 43.644358, 1.4274103 43.6442537, 1.4277029 43.6433486));99925038;;;service;1;0;0
roads.6004;MULTILINESTRING ((1.4277029 43.6433486, 1.4277656 43.6431489));99925040;;;service;1;0;0
